,time,lat,long,download_speed,upload_speed,latency,connection_type,isp,day,date,day_type,session,temperature,climate,env_type,location,floor,mobility,movement_speed,gsm_asu,gsm_rssi,lte_rsrp,lte_rsrq,lte_rssnr,lte_cqi,lte_band,nr_rsrp,contributor
521,11:55,13.0131535,80.2353026,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,No movement,0.13,0.0,-110.0,-105,-11,7,6,40,-140.0,Hariharan
522,11:55,13.0131938,80.2352741,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,No movement,0.13,0.0,-110.0,-114,-18,0,0,40,-140.0,Hariharan
523,11:55,13.0132209,80.2352522,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,No movement,0.13,0.0,-110.0,-114,-17,0,0,40,-140.0,Hariharan
524,11:55,13.013195,80.2352962,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Slow Walking,0.7,0.0,-110.0,-117,-21,0,0,40,-140.0,Hariharan
525,11:55,13.0131785,80.235269,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.71,0.0,-110.0,-95,-17,0,0,40,-140.0,Hariharan
526,11:55,13.0131656,80.2352561,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.71,0.0,-110.0,-106,-12,3,6,40,-140.0,Hariharan
527,11:55,13.0131707,80.2352503,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.79,0.0,-110.0,-106,-12,3,6,40,-140.0,Hariharan
528,11:55,13.0131871,80.2352565,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.79,0.0,-110.0,-114,-18,0,0,40,-140.0,Hariharan
529,11:55,13.0131949,80.2352624,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.79,0.0,-110.0,-114,-18,0,0,40,-140.0,Hariharan
530,11:55,13.0132121,80.2352564,0.210999995470047,0.0759999975562095,31,4G,Jio,Tuesday,17-09-2024,Weekday,Morning,35.49,scattered clouds,Free,PrintingDeptRoad,0,Walking,0.77,0.0,-110.0,-121,-23,0,0,40,-140.0,Hariharan
